Date,Open,High,Low,Close
12/8/2019,1.55501,1.55643,1.5491,1.55522
13/8/2019,1.55571,1.5589,1.54403,1.55633
14/8/2019,1.54582,1.5531,1.5454,1.54579
15/8/2019,1.54835,1.55111,1.54,1.5478
16/8/2019,1.54322,1.54347,1.5342,1.5425
19/8/2019,1.5357,1.53862,1.5343,1.53649
20/8/2019,1.53729,1.53793,1.5332,1.5368
21/8/2019,1.53745,1.53758,1.5336,1.53726
22/8/2019,1.53432,1.53933,1.533,1.53428
23/8/2019,1.536,1.54579,1.5325,1.5361
26/8/2019,1.54914,1.54916,1.5407,1.54945
27/8/2019,1.54127,1.54422,1.5393,1.54151
28/8/2019,1.54039,1.54156,1.53722,1.54036
29/8/2019,1.53894,1.54021,1.5341,1.53894
30/8/2019,1.53448,1.5354,1.5242,1.53473
2/9/2019,1.5263,1.52739,1.5234,1.5265
3/9/2019,1.52563,1.52711,1.5221,1.52566
4/9/2019,1.52534,1.52754,1.5231,1.52529
5/9/2019,1.52744,1.53244,1.5246,1.5268
6/9/2019,1.527,1.52854,1.5218,1.5275
9/9/2019,1.52237,1.52539,1.5201,1.52231
10/9/2019,1.52498,1.52526,1.5214,1.52494
11/9/2019,null,null,null,null
12/9/2019,null,null,null,null
13/9/2019,null,null,null,null
16/9/2019,null,null,null,null
17/9/2019,null,null,null,null
18/9/2019,null,null,null,null
19/9/2019,null,null,null,null
20/9/2019,null,null,null,null
23/9/2019,null,null,null,null
24/9/2019,null,null,null,null
25/9/2019,null,null,null,null
26/9/2019,null,null,null,null
27/9/2019,null,null,null,null
30/9/2019,null,null,null,null
1/10/2019,null,null,null,null
2/10/2019,null,null,null,null
3/10/2019,null,null,null,null
4/10/2019,null,null,null,null
7/10/2019,null,null,null,null
8/10/2019,1.51557,1.51927,1.5125,1.51547
9/10/2019,null,null,null,null
10/10/2019,1.51729,1.51905,1.5132,1.5168
11/10/2019,1.51417,1.51953,1.5115,1.5137
14/10/2019,1.51373,1.51373,1.5076,1.51321
15/10/2019,1.50943,1.51332,1.5069,1.50937
16/10/2019,1.5127,1.51794,1.5114,1.51293
17/10/2019,1.51787,1.51878,1.5132,1.51796
18/10/2019,1.51848,1.52243,1.5166,1.51828
21/10/2019,1.52145,1.52168,1.5159,1.52133
22/10/2019,1.51786,1.51884,1.5151,1.51763
23/10/2019,1.51667,1.51752,1.5136,1.51657
24/10/2019,1.5164,1.52014,1.5124,1.5164
25/10/2019,1.51409,1.51588,1.5096,1.5133
28/10/2019,1.5102,1.51248,1.5087,1.51084
29/10/2019,1.51186,1.51427,1.509,1.51183
30/10/2019,1.51375,1.51542,1.5123,1.5139
31/10/2019,1.51826,1.52121,1.51522,1.5171
1/11/2019,1.5169,1.51785,1.5116,1.51786
4/11/2019,1.515,1.51577,1.512,1.51538
5/11/2019,1.51151,1.51258,1.5033,1.51117
6/11/2019,1.5044,1.50705,1.5025,1.50405
7/11/2019,1.50595,1.50599,1.4992,1.50592
8/11/2019,1.50016,1.50218,1.4966,1.50012
11/11/2019,1.49878,1.5026,1.4978,1.49866
12/11/2019,1.5013,1.50191,1.4984,1.5006
13/11/2019,1.50024,1.50152,1.4976,1.50029
14/11/2019,1.49969,1.50116,1.497,1.4997
15/11/2019,1.4997,1.50398,1.4988,1.5005
18/11/2019,1.50363,1.5081,1.5029,1.50349
19/11/2019,1.50612,1.50841,1.5048,1.50621
20/11/2019,1.50798,1.50843,1.5045,1.5073
21/11/2019,1.50879,1.51052,1.5066,1.5082
22/11/2019,1.50799,1.50882,1.504,1.50799
25/11/2019,1.50369,1.50513,1.5019,1.50359
26/11/2019,1.5019,1.50597,1.5016,1.5027
27/11/2019,1.50392,1.50478,1.5004,1.5039
28/11/2019,1.5026,1.50494,1.5018,1.50288
29/11/2019,1.50358,1.50766,1.5012,1.50363
2/12/2019,1.50629,1.51416,1.505,1.50654
3/12/2019,1.51365,1.51397,1.5106,1.51341
4/12/2019,1.51123,1.51341,1.5082,1.5109
5/12/2019,1.51002,1.51158,1.5078,1.51013
6/12/2019,1.5106,1.51176,1.5026,1.5104
9/12/2019,1.50481,1.50624,1.5028,1.50473
10/12/2019,1.50435,1.50777,1.5034,1.50453
11/12/2019,1.50676,1.50837,1.505,1.50662
12/12/2019,1.51,1.51336,1.50645,1.5108
13/12/2019,1.51187,1.51254,1.50566,1.51225
16/12/2019,1.50708,1.51183,1.5057,1.50686
17/12/2019,1.50929,1.51399,1.5085,1.50961
18/12/2019,1.51073,1.51115,1.5059,1.51118
19/12/2019,1.50621,1.51039,1.5047,1.5057
20/12/2019,1.50689,1.50799,1.4999,1.5065
23/12/2019,1.50092,1.50442,1.5004,1.50115
24/12/2019,1.50355,1.50393,1.4999,1.5029
25/12/2019,1.5025,1.5041,1.49789,1.5022
26/12/2019,1.5024,1.50333,1.5003,1.50302
27/12/2019,1.50258,1.51114,1.502,1.50269
30/12/2019,1.51175,1.51272,1.5075,1.51187
31/12/2019,1.51016,1.51155,1.5073,1.5095
1/1/2020,1.5089,1.5089,1.5089,1.5089
2/1/2020,1.50894,1.51062,1.5044,1.50914
3/1/2020,1.50495,1.50775,1.502,1.5044
6/1/2020,1.50658,1.51182,1.5055,1.50672
7/1/2020,1.51037,1.51038,1.5036,1.5096
8/1/2020,1.50717,1.50981,1.5001,1.50719
9/1/2020,1.50147,1.50304,1.499,1.50049
10/1/2020,1.50081,1.50105,1.4955,1.5002
13/1/2020,1.49884,1.50027,1.4967,1.49878
14/1/2020,1.49939,1.50188,1.4963,1.49955
15/1/2020,1.50008,1.50315,1.4982,1.49985
16/1/2020,1.50104,1.50293,1.4982,1.50095
17/1/2020,1.4996,1.50017,1.4936,1.4997
20/1/2020,1.49469,1.49514,1.4921,1.49477
21/1/2020,1.4936,1.49966,1.493,1.4943
22/1/2020,1.49634,1.49705,1.4933,1.4955
23/1/2020,1.4957,1.49793,1.4916,1.49643
24/1/2020,1.49363,1.49363,1.4889,1.49366
27/1/2020,1.49315,1.49667,1.4918,1.49312
28/1/2020,1.49586,1.49815,1.4938,1.49589
29/1/2020,1.49628,1.49867,1.4941,1.49631
30/1/2020,1.4979,1.50496,1.4979,1.49842
31/1/2020,1.50257,1.51322,1.5002,1.50248
